_id,action,data,raw,time,user
gdPdwTk67YNCca4ru,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599766687159.9998,-1105628286
Rwnr8rppPkNJpFmzc,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599766687167.0,-1105628286
3tNrWAJGmReaKFvXp,search,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Looking for anything that mentions roadnav.', 'reasoningSelect': 'Looking for a specific document or specific information'}","{""query"":{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766687169.0,-1105628286
JMceGQjwdD4aoYTWG,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766692300.0,-1105628286
Tmz8v5LjczCW55HCY,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766692305.0,-1105628286
mFzjKwtxpNk6rHxiM,user justification,"{'strings': {'Name': '', 'Keyword': 'downloaded', 'Person': 'Michelle', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Roadeez Software Server'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document from Roadeez Software Server mentioning ""downloaded"" with people ""Michelle"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to see if ""uploaded"" and ""downloaded"" are valid keywords.', 'reasoningSelect': 'Testing the search tool'}","""{\""reasoningText\"":\""I want to see if \\\""uploaded\\\"" and \\\""downloaded\\\"" are valid keywords.\"",\""reasoningSelect\"":\""Testing the search tool\"",\""searchText\"":\""Any Document from Roadeez Software Server mentioning \\\""downloaded\\\"" with people \\\""Michelle\\\"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT\""}""",1599766720628.0,-1105628286
HDF8BhCddEEfqAtwZ,search,"{'strings': {'Name': '', 'Keyword': 'downloaded', 'Person': 'Michelle', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Roadeez Software Server'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document from Roadeez Software Server mentioning ""downloaded"" with people ""Michelle"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to see if ""uploaded"" and ""downloaded"" are valid keywords.', 'reasoningSelect': 'Testing the search tool'}","{""query"":{""$and"":[{""Keyword"":""/downloaded/i"",""$and"":[{""Person"":""/Michelle/i""}],""Document Source"":""/Roadeez Software Server/"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766720638.9998,-1105628286
CyM7Z4v8YJiQzHPr5,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599766720661.0,-1105628286
aWWLzqKSLAn2opaRx,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599766720662.0,-1105628286
6NkgaN5XDN6XpBQgN,search,"{'strings': {'Name': '', 'Keyword': 'downloaded', 'Person': 'Michelle', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Roadeez Software Server'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document from Roadeez Software Server mentioning ""downloaded"" with people ""Michelle"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to see if ""uploaded"" and ""downloaded"" are valid keywords.', 'reasoningSelect': 'Testing the search tool'}","{""query"":{""$and"":[{""Keyword"":""/downloaded/i"",""$and"":[{""Person"":""/Michelle/i""}],""Document Source"":""/Roadeez Software Server/"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766720663.0,-1105628286
2bdLgmiNzfa3kEYSC,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766728181.0,-1105628286
rLK3RBSsJkg5AGSFH,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766728186.0,-1105628286
JKggPF8zFNdNBBefa,user justification,"{'strings': {'Name': '', 'Keyword': 'uploaded', 'Person': 'Michelle', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Roadeez Software Server'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document from Roadeez Software Server mentioning ""uploaded"" with people ""Michelle"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to see if Michelle ever uploaded the software after downloading it.', 'reasoningSelect': 'Looking for a specific document or specific information'}","""{\""reasoningText\"":\""I want to see if Michelle ever uploaded the software after downloading it.\"",\""reasoningSelect\"":\""Looking for a specific document or specific information\"",\""searchText\"":\""Any Document from Roadeez Software Server mentioning \\\""uploaded\\\"" with people \\\""Michelle\\\"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT\""}""",1599766747593.0,-1105628286
